Customer ID_en,Category_en,Item_en,Payment Method_Cash,Payment Method_Credit Card,Payment Method_Digital Wallet,Location_In-store,Location_Online,Price Per Unit_sc,Quantity,Total Spent_sc,Discount Applied
8,7,0,0.0,0.0,1.0,0.0,1.0,-0.4461656524032273,10.0,0.6114360230720652,1.0
21,6,1,0.0,0.0,1.0,0.0,1.0,0.5360714630240785,9.0,1.4303316121697893,1.0
1,1,2,0.0,1.0,0.0,0.0,1.0,-0.1655264765668542,2.0,-0.9186057355052616,0.0
5,0,3,0.0,1.0,0.0,0.0,1.0,0.39575187510589194,9.0,1.2848698956853253,0.125
4,4,4,0.0,0.0,1.0,0.0,1.0,-1.0074440040759736,7.0,-0.43912081820462046,0.0
6,4,6,0.0,1.0,0.0,1.0,0.0,-1.7090419436669062,8.0,-0.9509305613906981,1.0
22,5,7,0.0,1.0,0.0,1.0,0.0,0.39575187510589194,1.0,-1.08561733591335,0.0
24,1,8,1.0,0.0,0.0,0.0,1.0,1.2376694026150112,3.0,-0.20207209504475293,0.0
21,1,9,1.0,0.0,0.0,1.0,0.0,-1.428402767830533,9.0,-0.606132418612709,1.0
22,4,10,1.0,0.0,0.0,0.0,1.0,-1.5687223557487195,7.0,-0.8916683806007312,1.0
13,7,11,0.0,0.0,1.0,1.0,0.0,1.5183085784513843,6.0,1.1717330050862975,0.0
8,6,12,0.0,0.0,1.0,0.0,1.0,0.39575187510589194,2.0,-0.7893064319635157,0.625
22,7,13,1.0,0.0,0.0,0.0,1.0,0.5360714630240785,8.0,1.1178582952772367,1.0
16,3,14,0.0,0.0,1.0,1.0,0.0,-0.025206888648667675,1.0,-1.1341045747415048,0.0
13,0,15,0.0,0.0,1.0,1.0,0.0,-0.8671244161577869,9.0,-0.02428555267485227,0.625
9,3,16,1.0,0.0,0.0,1.0,0.0,-1.2880831799123464,7.0,-0.6653945994026759,0.375
3,4,17,1.0,0.0,0.0,0.0,1.0,-0.4461656524032273,1.0,-1.1825918135696596,0.0
12,5,18,1.0,0.0,0.0,0.0,1.0,0.11511269926951886,2.0,-0.8539560837343886,0.0
17,1,19,0.0,1.0,0.0,1.0,0.0,0.9570302267786381,4.0,0.061913983019645014,1.0
7,4,21,1.0,0.0,0.0,1.0,0.0,0.11511269926951886,10.0,1.2579325407807949,1.0
17,7,22,0.0,1.0,0.0,1.0,0.0,1.2376694026150112,5.0,0.5844986681675348,0.0
4,4,23,0.0,0.0,1.0,0.0,1.0,-0.30584606448504076,10.0,0.7730601524992476,0.0
21,7,24,0.0,1.0,0.0,0.0,1.0,-1.0074440040759736,8.0,-0.30443404368196847,1.0
11,3,25,0.0,1.0,0.0,1.0,0.0,1.0973498146968246,9.0,2.012178478107646,0.5
14,0,26,0.0,1.0,0.0,1.0,0.0,1.6586281663695708,7.0,1.7104801031769055,1.0
1,4,27,0.0,0.0,1.0,1.0,0.0,1.3779889905331977,2.0,-0.5630326507654603,0.0
10,5,28,0.0,1.0,0.0,0.0,1.0,-0.4461656524032273,5.0,-0.38524610839555967,1.0
13,0,29,0.0,0.0,1.0,0.0,1.0,-0.30584606448504076,5.0,-0.30443404368196847,0.625
18,1,30,0.0,1.0,0.0,1.0,0.0,1.3779889905331977,5.0,0.665310732881126,0.0
15,0,31,1.0,0.0,0.0,0.0,1.0,1.2376694026150112,7.0,1.3710694313798226,1.0
15,3,32,1.0,0.0,0.0,0.0,1.0,-0.4461656524032273,5.0,-0.38524610839555967,0.5
24,1,33,0.0,0.0,1.0,1.0,0.0,1.5183085784513843,7.0,1.597343212577878,0.5
23,0,34,1.0,0.0,0.0,1.0,0.0,-0.7268048282396004,3.0,-0.880893438638919,0.625
24,4,35,0.0,0.0,1.0,1.0,0.0,-1.428402767830533,1.0,-1.2957287041686871,0.5
19,4,36,0.0,0.0,1.0,0.0,1.0,-0.1655264765668542,5.0,-0.22362197896837724,1.0
3,2,37,0.0,1.0,0.0,0.0,1.0,0.39575187510589194,6.0,0.395937183835822,0.0
11,7,38,0.0,1.0,0.0,0.0,1.0,-0.30584606448504076,4.0,-0.5199328829182116,1.0
12,1,39,0.0,1.0,0.0,0.0,1.0,0.39575187510589194,6.0,0.395937183835822,1.0
24,6,12,1.0,0.0,0.0,1.0,0.0,0.39575187510589194,7.0,0.6922480877856564,0.625
4,1,19,0.0,1.0,0.0,1.0,0.0,0.9570302267786381,10.0,2.2276773173438893,0.0
22,2,40,0.0,1.0,0.0,0.0,1.0,-1.14776359199416,6.0,-0.670782070383582,1.0
20,4,36,0.0,0.0,1.0,1.0,0.0,-0.1655264765668542,10.0,0.93468428192643,0.0
23,6,41,0.0,1.0,0.0,0.0,1.0,0.8167106388604516,3.0,-0.3475338115292171,0.25
